"shape","carat","cut","color","clarity","totaldepth","table","price","width","height","depth"
"Round",1.11,"Premium","H","VS2",62.6,58,3763.431,6.63,6.59,4.14
"Round",0.54,"Ideal","F","IF",62.2,54,1776.579,5.24,5.27,3.27
"Round",1.01,"Fair","H","VS1",66.1,55,2632.644,6.28,6.24,4.14
"Round",0.32,"Ideal","I","VS1",61.7,55.6,344.379,4.41,4.43,2.73
"Round",1.53,"Premium","E","SI1",62.6,57,8136.849,7.41,7.25,4.59
"Round",1.26,"Ideal","H","VS1",61.4,56,5006.841,7.01,6.97,4.29
"Round",0.31,"Good","E","SI1",63.5,57,354.144,4.28,4.32,2.73
"Round",0.34,"Ideal","E","VS1",62,56,672.483,4.52,4.48,2.79
"Round",0.6,"Premium","D","SI1",62.8,61,1371.006,5.41,5.33,3.37
"Round",1.25,"Premium","I","SI2",61,60,3281.04,6.98,6.93,4.24
"Round",0.34,"Ideal","G","VVS2",61.6,56,647.745,4.49,4.47,2.76
"Round",0.51,"Ideal","D","VS1",62.5,57,1219.323,5.13,5.08,3.19
"Round",0.73,"Premium","E","VS2",62.5,61,1863.162,5.78,5.64,3.59
"Round",2.74,"Fair","J","I1",64.9,61,5733.357,8.76,8.66,5.65
"Round",0.4,"Ideal","F","SI1",61.9,57,451.794,4.71,4.76,2.93
"Round",0.35,"Ideal","F","SI1",62.2,56,486.948,4.52,4.48,2.8
"Round",0.72,"Very Good","G","VVS2",60.4,58,1980.993,5.77,5.82,3.5
"Round",2.23,"Premium","I","VS2",61.2,58,11814.999,8.43,8.36,5.14
"Round",1.01,"Very Good","I","SI1",63.5,59,2872.212,6.36,6.31,4.02
"Round",0.72,"Ideal","D","SI1",61.9,55,1923.054,5.75,5.78,3.57
"Round",1.6,"Premium","G","SI1",62.2,58,7763.826,7.5,7.44,4.65
"Round",0.72,"Ideal","E","VVS2",61.7,55,3207.477,5.76,5.78,3.56
"Round",0.42,"Ideal","E","VS2",62.2,55,666.624,4.83,4.79,2.99
"Round",0.6,"Ideal","H","SI1",61.4,55,1149.666,5.46,5.49,3.36
"Round",0.35,"Good","E","SI2",63.9,55,410.13,4.5,4.48,2.87
"Round",1.22,"Very Good","H","SI1",62.5,59,4116.273,6.79,6.82,4.25
"Round",0.59,"Ideal","E","VVS2",62,55,1797.411,5.38,5.43,3.35
"Round",0.5,"Premium","E","VS2",60.6,59,1076.754,5.17,5.06,3.1
"Round",1.23,"Premium","F","VVS2",58.5,59,7059.444,7.07,6.98,4.11
"Round",0.9,"Ideal","E","VS2",62.7,56,3105.27,6.14,6.18,3.86
"Round",0.24,"Ideal","F","IF",61,57,441.378,4.04,4.07,2.47
"Round",0.31,"Premium","E","VS2",62.6,58,442.68,4.29,4.33,2.7
"Round",1.5,"Premium","I","VS2",62.3,58,5741.82,7.31,7.26,4.54
"Round",0.82,"Fair","H","SI1",64.9,58,1990.107,5.82,5.77,3.76
"Round",0.7,"Fair","G","I1",67.3,57,622.356,5.53,5.38,3.68
"Round",0.24,"Ideal","E","VVS1",60.2,57,441.378,4.02,4.07,2.44
"Round",0.32,"Premium","F","VS2",61.1,58,539.028,4.42,4.39,2.69
"Round",0.7,"Ideal","G","VS2",62.3,57,1772.673,5.66,5.7,3.54
"Round",0.33,"Ideal","E","VS1",62.3,53.8,501.921,4.42,4.44,2.76
"Round",0.31,"Good","I","VS1",63.2,56,318.339,4.28,4.33,2.72
"Round",0.3,"Ideal","E","VVS1",61.2,58,545.538,4.28,4.31,2.63
"Round",0.53,"Ideal","G","VVS2",60.4,59,1266.846,5.26,5.3,3.19
"Round",0.51,"Ideal","G","VS1",61.7,56,1085.868,5.1,5.2,3.18
"Round",0.36,"Ideal","I","VS1",62.1,57,474.579,4.58,4.54,2.83
"Round",0.31,"Ideal","E","VVS1",61.7,56,601.524,4.33,4.36,2.68
"Round",0.43,"Good","J","SI2",63.7,57,409.479,4.79,4.76,3.04
"Round",0.71,"Ideal","E","SI1",62.8,53,1700.412,5.67,5.7,3.57
"Round",0.37,"Fair","F","SI1",65.3,56,343.077,4.53,4.47,2.94
"Round",0.72,"Ideal","E","SI1",60.9,57,1572.816,5.83,5.86,3.56
"Round",1.07,"Premium","J","VS2",62.8,57,2749.824,6.54,6.49,4.09
"Round",0.5,"Very Good","E","VVS2",62,55,1370.355,5.08,5.11,3.16
"Round",1.51,"Premium","I","VS2",59.9,60,6516.51,7.42,7.36,4.43
"Round",0.35,"Ideal","H","VS1",62,56,399.714,4.54,4.56,2.82
"Round",1.5,"Premium","G","VS1",60.2,58,8931.72,7.41,7.38,4.45
"Round",0.71,"Very Good","G","VS1",63.5,56,1541.568,5.67,5.63,3.59
"Round",0.9,"Premium","D","SI2",61,61,2156.112,6.17,6.15,3.76
"Round",1.27,"Very Good","H","SI2",60.6,59,3720.465,6.97,7,4.23
"Round",0.9,"Ideal","F","SI1",61.7,57,3031.707,6.25,6.2,3.84
"Round",0.57,"Ideal","E","VVS2",62,57,1592.997,5.29,5.33,3.29
"Round",0.76,"Premium","H","SI1",60.9,59,1246.665,5.91,5.86,3.58
"Round",0.82,"Premium","I","IF",61.2,60,2098.824,6.03,5.99,3.68
"Round",0.31,"Ideal","E","VS2",61.9,55,567.672,4.39,4.36,2.71
"Round",0.77,"Premium","F","VS1",60.9,60,1861.209,5.91,5.88,3.59
"Round",0.7,"Fair","E","VS1",64.5,57,1929.564,5.59,5.55,3.59
"Round",0.8,"Ideal","I","VS2",61.6,58,1696.506,5.99,6.03,3.7
"Round",0.9,"Good","H","SI1",60.5,64,2034.375,6.18,6.11,3.72
"Round",0.49,"Very Good","D","SI1",58.6,60,764.274,5.14,5.2,3.03
"Round",0.55,"Very Good","I","VS2",58.5,62.2,803.985,5.39,5.4,3.16
"Round",1.51,"Very Good","G","VS1",63.3,53,8990.961,7.33,7.26,4.62
"Round",1,"Good","G","VS2",63,58,3725.673,6.25,6.35,3.97
"Round",1.2,"Very Good","G","SI2",61.5,58,2892.393,6.83,6.85,4.21
"Round",0.52,"Ideal","F","IF",61.7,57,1779.183,5.13,5.17,3.18
"Round",0.43,"Very Good","H","VS2",63.4,55,647.094,4.82,4.86,3.07
"Round",1.53,"Good","E","SI2",57.1,56,4975.593,7.69,7.65,4.38
"Round",1.04,"Premium","I","SI2",61.6,58,2286.312,6.58,6.47,4.02
"Round",0.55,"Ideal","E","SI2",62,56,828.723,5.27,5.22,3.25
"Round",1.39,"Very Good","I","VS1",62.2,57,5138.343,7.17,7.1,4.44
"Round",1.53,"Premium","H","VS2",60.1,58,7217.637,7.6,7.57,4.71
"Round",0.92,"Premium","F","SI1",62.1,60,2877.42,6.22,6.21,3.86
"Round",0.9,"Ideal","H","VS1",62.2,56,3399.522,6.16,6.18,3.84
"Round",0.32,"Premium","E","VVS1",60.8,59,679.644,4.45,4.43,2.7
"Round",2.02,"Premium","J","VS2",62,59,8991.612,8.08,8.06,5
"Round",0.68,"Premium","F","VVS2",61.7,57,1857.954,5.67,5.64,3.49
"Round",0.31,"Premium","I","VS2",61.1,58,283.185,4.36,4.38,2.67
"Round",1.2,"Ideal","I","I1",61.9,56,2281.755,6.82,6.85,4.23
"Round",0.73,"Ideal","D","SI1",62.4,53,2044.14,5.82,5.79,3.62
"Round",0.57,"Ideal","D","SI1",61.4,55,1096.284,5.34,5.35,3.28
"Round",0.31,"Very Good","F","SI1",62.9,57,335.916,4.31,4.34,2.72
"Round",1.55,"Ideal","I","VS1",61.9,55,7075.719,7.43,7.46,4.61
"Round",0.5,"Very Good","F","SI1",63.2,57,794.22,5.03,5.06,3.19
"Round",1.2,"Very Good","I","SI1",63.1,59,3281.04,6.7,6.67,4.22
"Round",1.51,"Very Good","I","VS2",60.4,58,5974.878,7.36,7.42,4.46
"Round",1.11,"Premium","H","VS2",61.1,59,4249.077,6.66,6.63,4.06
"Round",1.01,"Very Good","D","VVS2",63,56,7030.8,6.35,6.41,4.02
"Round",0.26,"Very Good","F","VS2",62.4,58,294.903,4.06,4.08,2.54
"Round",1.01,"Premium","D","SI1",62,60,4020.576,6.4,6.37,3.96
"Round",1.54,"Ideal","G","VVS2",62,54,10035.165,7.36,7.43,4.59
"Round",0.38,"Premium","D","VS1",62.4,59,694.617,4.6,4.63,2.88
"Round",0.44,"Ideal","D","VVS1",61,57,1490.79,4.91,4.93,3
"Round",0.71,"Very Good","F","VS2",62.8,57,1807.827,5.64,5.69,3.56
"Round",0.3,"Premium","H","VS1",60,60,374.976,4.4,4.3,2.61
"Round",0.78,"Very Good","F","SI1",62.4,55,2126.817,5.85,5.89,3.66
"Round",0.4,"Ideal","G","VS1",61.3,55,570.927,4.75,4.78,2.92
"Round",1.71,"Very Good","H","SI1",59.5,59,8326.941,7.78,7.81,4.64
"Round",1.54,"Ideal","G","VS2",60.6,57,8958.411,7.55,7.49,4.56
"Round",0.83,"Ideal","I","SI2",61.2,59,1591.044,6.03,6.06,3.7
"Round",0.35,"Very Good","H","VVS2",62.5,58,459.606,4.48,4.51,2.81
"Round",0.38,"Ideal","E","VS1",62.6,53.5,637.329,4.61,4.66,2.9
"Round",1.01,"Ideal","F","VS1",62.2,57,4636.422,6.38,6.48,4
"Round",1.33,"Premium","G","SI2",60.3,58,4273.815,7.16,7.19,4.33
"Round",0.3,"Premium","G","SI2",62.3,59,329.406,4.29,4.25,2.66
"Round",2.16,"Ideal","I","SI1",62,56,11736.879,8.28,8.3,5.14
"Round",0.31,"Ideal","G","SI2",62,54,283.836,4.38,4.42,2.73
"Round",1.01,"Very Good","D","SI1",63.3,57,3659.922,6.33,6.37,4.02
"Round",0.33,"Ideal","G","VS1",62.1,55,555.954,4.46,4.43,2.76
"Round",0.7,"Good","I","VS2",57.5,62,1476.468,5.81,5.78,3.33
"Round",0.32,"Ideal","H","VVS1",62.2,56,475.23,4.37,4.38,2.72
"Round",1.01,"Premium","F","SI2",62.8,57,2693.187,6.31,6.24,3.94
"Round",0.34,"Premium","E","SI2",59.9,59,398.412,4.57,4.55,2.73
"Round",0.25,"Premium","E","VS1",61.5,60,283.185,4.02,4.04,2.48
"Round",1,"Good","G","VS2",59.9,57,3689.217,6.45,6.51,3.88
"Round",0.56,"Ideal","F","VS2",62.1,57,1121.673,5.28,5.29,3.28
"Round",1.11,"Ideal","E","SI2",61.2,55,3488.058,6.72,6.68,4.1
"Round",0.56,"Ideal","G","SI1",61.2,54,1063.083,5.36,5.32,3.27
"Round",0.35,"Ideal","J","IF",61.8,55,370.419,4.54,4.56,2.81
"Round",0.71,"Premium","D","VS2",62.5,60,1803.27,5.65,5.61,3.52
"Round",1.06,"Very Good","H","SI1",59.1,58,3286.248,6.66,6.71,3.95
"Round",0.3,"Very Good","D","VS1",60.1,55,561.813,4.37,4.4,2.63
"Round",1,"Premium","I","VS2",62.7,62,2550.618,6.32,6.27,3.95
"Round",0.53,"Premium","G","VS1",60.1,58,1180.263,5.32,5.27,3.18
"Round",0.27,"Ideal","D","VVS1",61.7,57,381.486,4.16,4.2,2.58
"Round",0.3,"Very Good","E","SI1",62.1,60,342.426,4.27,4.29,2.66
"Round",1.08,"Premium","G","VS1",63,59,4897.473,6.56,6.5,4.11
"Round",0.71,"Premium","E","SI2",62.2,57,1553.286,5.74,5.68,3.55
"Round",1.01,"Fair","G","SI2",65.1,58,2253.111,6.29,6.21,4.07
"Round",0.62,"Premium","G","VS2",60.9,59,1198.491,5.52,5.48,3.35
"Round",0.72,"Ideal","I","VVS1",61.3,57,1743.378,5.77,5.75,3.53
"Round",0.58,"Very Good","E","SI1",63.1,56,1068.291,5.36,5.32,3.37
"Round",1,"Premium","E","VS1",61.4,58,4830.42,6.44,6.42,3.95
"Round",0.55,"Ideal","F","VS2",61.6,56,1218.021,5.31,5.29,3.27
"Round",1.26,"Premium","J","SI1",61.8,58,3307.08,6.91,6.88,4.26
"Round",1.22,"Premium","E","SI2",61.5,58,3984.771,6.86,6.84,4.21
"Round",0.72,"Very Good","J","VS1",62.7,58,1294.188,5.67,5.72,3.57
"Round",0.3,"Very Good","G","VVS2",62.3,59,445.284,4.25,4.29,2.66
"Round",0.52,"Premium","E","SI1",62.3,59,1026.627,5.16,5.08,3.19
"Round",0.31,"Ideal","G","IF",61.7,56,601.524,4.34,4.38,2.69
"Round",0.9,"Premium","H","VVS2",62,58,2835.105,6.16,6.13,3.81
"Round",1.11,"Premium","H","SI1",62.8,61,3460.065,6.63,6.56,4.14
"Round",0.7,"Ideal","H","VS2",62.4,58,1581.279,5.67,5.71,3.55
"Round",0.51,"Ideal","G","VVS2",61.6,56,1285.074,5.17,5.12,3.17
"Round",0.9,"Premium","I","SI1",63,60,2198.427,6.08,5.99,3.8
"Round",0.5,"Very Good","H","VS2",61.8,63,766.878,5.08,5.05,3.13
"Round",0.4,"Ideal","I","VVS2",62,56,807.24,4.74,4.77,2.95
"Round",1.03,"Very Good","G","VS1",60.7,58,4314.828,6.5,6.55,3.96
"Round",0.36,"Premium","F","VS2",62,59,525.357,4.56,4.51,2.81
"Round",1.03,"Ideal","D","SI1",61,57,3778.404,6.48,6.53,3.97
"Round",0.7,"Fair","G","VS2",66.5,57,1676.325,5.4,5.46,3.61
"Round",0.73,"Very Good","F","VS2",58.9,60,1629.453,5.9,5.81,3.45
"Round",0.52,"Ideal","G","VVS2",61.7,55,1244.061,5.19,5.22,3.21
"Round",1.5,"Premium","H","SI2",62.3,60,5526.99,7.22,7.3,4.52
"Round",0.34,"Fair","E","VVS1",54,56,658.812,4.8,4.76,2.58
"Round",0.59,"Ideal","E","SI1",62.4,55,1164.639,5.39,5.34,3.35
"Round",1.6,"Ideal","G","VS1",62,57,6416.256,7.47,7.43,4.62
"Round",2.01,"Ideal","F","SI2",62.2,56,11117.778,8.05,8.08,5.02
"Round",1.01,"Very Good","F","VS1",59.4,58,4191.789,6.46,6.54,3.86
"Round",0.54,"Ideal","H","VVS2",61.1,56,1104.096,5.23,5.28,3.21
"Round",0.41,"Ideal","G","VVS1",61.8,55,749.301,4.76,4.78,2.95
"Round",1.01,"Very Good","E","VS2",60.4,58,4339.566,6.47,6.51,3.92
"Round",1.01,"Premium","G","VS2",62.4,58,3905.349,6.38,6.41,3.99
"Round",1,"Ideal","E","SI1",62.8,54.2,3728.928,6.32,6.4,4.01
"Round",1.62,"Premium","J","SI2",61.8,59,3357.207,7.48,7.44,4.61
"Round",0.32,"Ideal","I","IF",60.8,54,562.464,4.47,4.44,2.71
"Round",1.02,"Premium","E","SI1",59.2,56,3681.405,6.63,6.57,3.91
"Round",0.26,"Ideal","H","VVS1",61.2,56,304.668,4.11,4.16,2.53
"Round",0.53,"Premium","F","SI1",61.4,58,861.924,5.19,5.17,3.18
"Round",1.01,"Very Good","H","VS2",61,63,3228.309,6.38,6.41,3.9
"Round",2.17,"Good","H","SI2",58.9,62,10439.436,8.48,8.52,5.01
"Round",0.4,"Very Good","E","VS1",62.9,56,624.309,4.67,4.71,2.95
"Round",1,"Good","D","VS2",64.1,58,4159.239,6.24,6.33,4.03
"Round",0.3,"Good","H","VVS2",63.1,60,393.855,4.24,4.28,2.69
"Round",1.04,"Premium","I","I1",61.6,61,1868.37,6.47,6.45,3.98
"Round",0.9,"Very Good","I","VS2",62.8,52,2450.364,6.19,6.23,3.9
"Round",1.29,"Ideal","G","VVS2",62.4,57,7035.357,6.97,6.94,4.34
"Round",0.31,"Ideal","G","VS1",62.7,57,352.842,4.31,4.34,2.71
"Round",0.4,"Ideal","E","VS1",62.1,55,584.598,4.75,4.79,2.96
"Round",1.23,"Premium","G","VVS2",59.6,59,5840.121,6.98,6.95,4.15
"Round",0.3,"Premium","G","VVS1",62.1,61,659.463,4.3,4.27,2.66
"Round",0.81,"Very Good","F","VS1",62.7,56,2401.539,5.92,5.98,3.73
"Round",0.7,"Very Good","J","SI1",58.4,62,1195.236,5.85,5.87,3.42
"Round",1.17,"Ideal","G","VS1",61.8,57,5623.989,6.76,6.8,4.19
"Round",0.71,"Premium","G","SI2",62.1,58,1437.408,5.72,5.68,3.54
"Round",0.93,"Premium","E","I1",62.3,60,1708.224,6.2,6.23,3.87
"Round",1.08,"Very Good","F","SI2",63.3,59,2712.717,6.48,6.44,4.09
"Round",0.38,"Premium","J","VS1",62.1,60,501.27,4.64,4.6,2.87
"Round",1.01,"Good","H","VS2",63.1,59,3363.066,6.3,6.34,3.99
"Round",0.3,"Premium","G","VVS2",61.2,58,571.578,4.34,4.32,2.65
"Round",0.9,"Premium","F","SI2",61.6,58,2250.507,6.23,6.15,3.81
"Round",1.01,"Ideal","H","VS1",62.6,57,3760.827,6.37,6.4,4
"Round",0.76,"Ideal","D","VVS2",62.3,57,2701.65,5.87,5.84,3.65
"Round",1.06,"Premium","D","VS2",62.3,59,4909.191,6.48,6.52,4.05
"Round",0.35,"Ideal","F","VS2",62.5,57,589.806,4.53,4.5,2.82
"Round",1.09,"Ideal","F","SI2",61.6,54,2527.182,6.69,6.62,4.1
"Round",0.76,"Ideal","G","VS2",61.3,56,1811.082,5.9,5.94,3.63
"Round",0.91,"Good","F","SI1",63.7,58,2554.524,6.09,6.02,3.86
"Round",0.57,"Ideal","F","SI2",62.7,56,932.232,5.32,5.27,3.32
"Round",1.01,"Premium","H","SI1",61.8,61,2937.963,6.47,6.4,3.98
"Round",0.31,"Premium","H","VS1",59.7,58,354.144,4.41,4.43,2.64
"Round",1.15,"Premium","G","SI1",63,59,3504.984,6.68,6.63,4.19
"Round",0.92,"Very Good","D","SI2",62.5,59,2352.063,6.2,6.24,3.89
"Round",0.3,"Premium","G","VVS2",61.2,59,571.578,4.35,4.31,2.65
"Round",1.01,"Premium","F","VS2",61.3,61,4082.421,6.38,6.34,3.9
"Round",0.31,"Premium","F","VVS1",59.7,59,669.228,4.49,4.45,2.67
"Round",1.5,"Premium","E","VVS2",58.7,61,11501.217,7.49,7.36,4.36
"Round",0.7,"Very Good","G","VS2",63.3,56,1604.064,5.59,5.66,3.56
"Round",1,"Ideal","G","VS2",62.3,54,4083.072,6.42,6.38,3.99
"Round",0.4,"Premium","I","VVS1",60.8,58,703.08,4.78,4.76,2.9
"Round",0.53,"Good","F","VVS2",62.5,65,1484.931,5.11,5.17,3.21
"Round",0.4,"Good","J","VS2",64,57,384.741,4.67,4.7,3
"Round",0.51,"Good","E","SI1",63.6,59,807.891,5.13,5.06,3.24
"Round",1,"Very Good","F","SI2",61.7,58,2466.639,6.32,6.36,3.91
"Round",0.7,"Ideal","D","VS2",61.5,56,2036.979,5.7,5.74,3.52
"Round",2.01,"Ideal","J","SI1",62.1,56,7843.248,8.08,8.03,5
"Round",1.08,"Premium","G","SI1",59.4,60,3283.644,6.7,6.63,3.96
"Round",1.21,"Premium","D","SI2",62.5,57,4234.755,6.79,6.71,4.22
"Round",0.31,"Ideal","G","IF",62.1,56,567.021,4.31,4.34,2.69
"Round",1.01,"Premium","H","SI1",61.9,57,3221.799,6.49,6.4,3.99
"Round",0.28,"Very Good","G","VVS1",60.7,56,381.486,4.27,4.29,2.6
"Round",1.1,"Very Good","G","VVS1",60.4,57,5679.324,6.7,6.77,4.07
"Round",2.01,"Fair","G","SI2",65,60,8932.371,7.8,7.73,5.05
"Round",0.4,"Premium","H","VVS2",60.9,58,570.927,4.74,4.79,2.9
"Round",0.36,"Ideal","F","IF",61.4,56,692.013,4.57,4.61,2.82
"Round",0.31,"Very Good","F","VVS1",61.3,56,526.008,4.35,4.37,2.67
"Round",0.3,"Very Good","E","VS2",62.4,57,428.358,4.24,4.26,2.65
"Round",0.41,"Ideal","F","VVS1",61.3,56,651.651,4.8,4.82,2.95
"Round",1,"Very Good","G","VS2",61.1,55,5040.693,6.44,6.5,3.95
"Round",0.3,"Ideal","D","SI1",62,53,341.124,4.33,4.35,2.69
"Round",0.4,"Very Good","G","SI1",61.9,55,443.982,4.71,4.75,2.93
"Round",1.34,"Ideal","I","VS1",62.2,57,4567.416,7.02,7.06,4.38
"Round",0.3,"Premium","D","VS2",61.7,59,462.21,4.25,4.28,2.63
"Round",1.73,"Premium","G","VS1",62.8,57,9863.301,7.72,7.57,4.8
"Round",0.93,"Ideal","I","SI1",62,57,1898.967,6.22,6.26,3.87
"Round",1.19,"Ideal","H","VS2",62,54,4969.083,6.79,6.83,4.22
"Round",0.41,"Premium","F","VVS2",60.1,58,725.865,4.79,4.83,2.89
"Round",0.52,"Very Good","D","VS2",60.6,56,1186.122,5.22,5.25,3.17
"Round",0.3,"Ideal","G","IF",62.1,55,561.813,4.32,4.35,2.69
"Round",2.16,"Premium","H","SI2",59.7,60,10676.4,8.38,8.3,4.98
"Round",0.34,"Ideal","D","VVS1",61.7,57,788.361,4.52,4.49,2.78
"Round",0.39,"Ideal","G","VS1",62,55,656.208,4.66,4.71,2.9
"Round",0.27,"Ideal","E","VVS2",61.8,57,520.149,4.16,4.12,2.56
"Round",1.37,"Ideal","G","VVS2",62.3,55.5,7946.757,7.05,7.14,4.43
"Round",0.5,"Very Good","G","SI1",62.8,55,761.67,5.03,5.07,3.17
"Round",1.08,"Ideal","H","VS2",60.3,57,4173.561,6.67,6.7,4.03
"Round",0.92,"Premium","E","SI1",62.2,58,2969.862,6.18,6.23,3.86
"Round",0.52,"Premium","G","SI1",62.7,58,813.099,5.13,5.07,3.2
"Round",0.71,"Ideal","F","VS1",61.4,57,2415.21,5.72,5.73,3.52
"Round",0.3,"Very Good","I","VVS1",63.1,57,461.559,4.29,4.27,2.7
"Round",1.59,"Premium","J","SI1",62.5,60,5101.236,7.46,7.42,4.65
"Round",1.5,"Fair","I","I1",65.1,59,3281.04,7.12,6.96,4.58
"Round",0.36,"Ideal","G","VVS1",62.1,56,615.195,4.6,4.58,2.85
"Round",1.03,"Ideal","G","SI1",60.8,57,3680.103,6.52,6.47,3.95
"Round",1.51,"Premium","I","SI2",60.4,56,4932.627,7.4,7.36,4.46
"Round",0.26,"Ideal","E","VVS2",62,56,389.949,4.1,4.13,2.55
"Round",1.21,"Very Good","F","VVS2",61,58,7457.205,6.89,6.92,4.21
"Round",1.6,"Premium","I","VS1",58.6,58,7174.671,7.72,7.66,4.51
"Round",2.02,"Very Good","H","SI1",59.3,60,11871.636,8.14,8.21,4.85
"Round",0.31,"Premium","H","IF",61,58,680.946,4.38,4.34,2.66
"Round",1,"Ideal","G","VVS2",59.8,54,5133.135,6.58,6.54,3.92
"Round",0.55,"Ideal","G","VVS1",61.5,55,1609.923,5.28,5.26,3.24
"Round",0.91,"Ideal","E","VS2",62.1,55,2654.127,6.17,6.14,3.82
"Round",1.03,"Ideal","G","VS1",62.3,56,4468.464,6.5,6.46,4.04
"Round",1.01,"Ideal","F","VS1",60.7,57,5072.592,6.52,6.49,3.95
"Round",0.72,"Ideal","I","VVS2",61.5,58,1688.694,5.78,5.79,3.56
"Round",1.06,"Good","F","VS1",58.5,57,5012.049,6.68,6.73,3.92
"Round",1,"Premium","H","SI1",62.4,59,3135.216,6.42,6.37,3.99
"Round",0.97,"Very Good","I","VS2",62.2,55.9,2615.718,6.34,6.29,3.94
"Round",0.31,"Premium","F","VS2",59,59,406.875,4.44,4.47,2.63
"Round",0.55,"Ideal","F","VS1",62,55,1224.531,5.26,5.29,3.27
"Round",1.55,"Ideal","D","VS2",60.1,58,10315.095,7.56,7.54,4.54
"Round",1.02,"Fair","F","SI1",64.8,59,3421.005,6.33,6.23,4.07
"Round",1.03,"Premium","E","VVS2",59.7,56,5992.455,6.64,6.56,3.94
"Round",0.36,"Good","E","IF",57.7,54,685.503,4.74,4.79,2.75
"Round",0.92,"Fair","F","SI1",66,57,2163.273,6.04,5.99,3.97
"Round",0.56,"Very Good","F","VVS1",61.7,56,1510.971,5.26,5.3,3.26
"Round",0.9,"Good","E","SI1",60.7,63,2716.623,6.07,6.13,3.7
"Round",0.71,"Premium","E","SI2",62.6,58,1594.95,5.7,5.67,3.56
"Round",0.32,"Ideal","I","VS1",60.9,56,421.848,4.46,4.44,2.71
"Round",0.9,"Ideal","H","SI1",61.5,57,2372.244,6.17,6.23,3.81
"Round",0.6,"Premium","D","SI2",62.3,59,943.299,5.41,5.31,3.34
"Round",0.45,"Good","G","VVS1",64,57,816.354,4.86,4.82,3.1
